Shopping	shopping	1.0
Tours	tours	1.0
Traveler Resources	traveler resources	1.0
Nature and Parks	nature and parks	1.0
Zoos and Aquariums	zoos and aquariums	1.0
Museums	museums	1.0
Sights & Landmarks	sights & landmarks	1.0
Zoos & Aquariums	zoos & aquariums	1.0
Outdoor Activities	outdoor activities	1.0
Food & Drink	food & drink	1.0
Concerts and Shows	concerts and shows	1.0
Events	events	1.0
Other	other	1.0
Casinos & Gambling	casinos & gambling	1.0
Water and Amusement Parks	water and amusement parks	1.0
Casinos and Gambling	casinos and gambling	1.0
Transportation	transportation	1.0
Water & Amusement Parks	water & amusement parks	1.0
Food and Drink	food and drink	1.0
Fun and Games	fun and games	1.0
Fun & Games	fun & games	1.0
Sights and Landmarks	sights and landmarks	1.0
Concerts & Shows	concerts & shows	1.0
Nature & Parks	nature & parks	1.0
