Bar	bar	1.0
Cuban	cuban	1.0
Swedish	swedish	1.0
Caucasian	caucasian	1.0
Kappo	kappo	1.0
Mongolian	mongolian	1.0
Central Italian	central italian	1.0
Indian	indian	1.0
Healthy	healthy	1.0
Nepali	nepali	1.0
Brazilian	brazilian	1.0
Contemporary	contemporary	1.0
Thai	thai	1.0
Taiwanese	taiwanese	1.0
Chilean	chilean	1.0
Northern Italian	northern italian	1.0
Belgian	belgian	1.0
Colombian	colombian	1.0
German	german	1.0
Egyptian	egyptian	1.0
Neapolitan	neapolitan	1.0
Central American	central american	1.0
Polynesian	polynesian	1.0
Mediterranean	mediterranean	1.0
Brew Pub	brew pub	1.0
Gastropub	gastropub	1.0
Eastern European	eastern european	1.0
Japanese sweets parlour	japanese sweets parlour	1.0
Pizza	pizza	1.0
Filipino	filipino	1.0
Afghani	afghani	1.0
New Zealand	new zealand	1.0
Canadian	canadian	1.0
Arabic	arabic	1.0
Hawaiian	hawaiian	1.0
Indonesian	indonesian	1.0
Singaporean	singaporean	1.0
Northern-Italian	northern-italian	1.0
Spanish	spanish	1.0
Caribbean	caribbean	1.0
Czech	czech	1.0
Barbecue	barbecue	1.0
Scandinavian	scandinavian	1.0
Australian	australian	1.0
Italian	italian	1.0
Sicilian	sicilian	1.0
Native American	native american	1.0
Medicinal foods	medicinal foods	1.0
Campania	campania	1.0
Soups	soups	1.0
Japanese	japanese	1.0
Sushi	sushi	1.0
Japanese Fusion	japanese fusion	1.0
Moroccan	moroccan	1.0
Russian	russian	1.0
Diner	diner	1.0
Norwegian	norwegian	1.0
Dutch	dutch	1.0
Fujian	fujian	1.0
Austrian	austrian	1.0
Cafe	cafe	1.0
Central Asian	central asian	1.0
South American	south american	1.0
British	british	1.0
Peruvian	peruvian	1.0
Deli	deli	1.0
Korean	korean	1.0
Pakistani	pakistani	1.0
Swiss	swiss	1.0
Street Food	street food	1.0
Pub	pub	1.0
Romana	romana	1.0
Cajun and Creole	cajun and creole	1.0
Ukrainian	ukrainian	1.0
Lebanese	lebanese	1.0
Albanian	albanian	1.0
Southwestern	southwestern	1.0
Malaysian	malaysian	1.0
Latin	latin	1.0
Persian	persian	1.0
Seafood	seafood	1.0
Israeli	israeli	1.0
European	european	1.0
Lazio	lazio	1.0
Catalan	catalan	1.0
Fusion	fusion	1.0
Fast Food	fast food	1.0
African	african	1.0
Mexican	mexican	1.0
Tuscan	tuscan	1.0
Portuguese	portuguese	1.0
Steakhouse	steakhouse	1.0
Beijing cuisine	beijing cuisine	1.0
French	french	1.0
Greek	greek	1.0
Southern-Italian	southern-italian	1.0
Armenian	armenian	1.0
Dining bars	dining bars	1.0
Asian	asian	1.0
Argentinean	argentinean	1.0
Turkish	turkish	1.0
Cajun & Creole	cajun & creole	1.0
Wine Bar	wine bar	1.0
Yunnan	yunnan	1.0
Chinese	chinese	1.0
Middle Eastern	middle eastern	1.0
Central-Italian	central-italian	1.0
Kaiseki	kaiseki	1.0
International	international	1.0
Vietnamese	vietnamese	1.0
Sri Lankan	sri lankan	1.0
Burmese	burmese	1.0
Beer restaurants	beer restaurants	1.0
Grill	grill	1.0
Irish	irish	1.0
American	american	1.0
Central European	central european	1.0
