city centre north	city centre north	1.0
express by holiday inn cambridge	express by holiday inn cambridge	1.0
el shaddai	el shaddai	1.0
a and b guest house	a and b guest house	1.0
arbury lodge guesthouse	arbury lodge guesthouse	1.0
university arms hotel	university arms hotel	1.0
kirkwood house	kirkwood house	1.0
autumn house	autumn house	1.0
gonville hotel	gonville hotel	1.0
leverton house	leverton house	1.0
acorn guest house	acorn guest house	1.0
the cambridge belfry	the cambridge belfry	1.0
ashley hotel	ashley hotel	1.0
the lensfield hotel	the lensfield hotel	1.0
finches bed and breakfast	finches bed and breakfast	1.0
worth house	worth house	1.0
wandlebury coutn	wandlebury coutn	1.0
allenbell	allenbell	1.0
rosa s bed and breakfast	rosa s bed and breakfast	1.0
home from home	home from home	1.0
avalon	avalon	1.0
alexander bed and breakfast	alexander bed and breakfast	1.0
cityroomz	cityroomz	1.0
limehouse	limehouse	1.0
archway house	archway house	1.0
warkworth house	warkworth house	1.0
lovell lodge	lovell lodge	1.0
aylesbray lodge guest house	aylesbray lodge guest house	1.0
carolina bed and breakfast	carolina bed and breakfast	1.0
huntingdon marriott hotel	huntingdon marriott hotel	1.0
hobsons house	hobsons house	1.0
hamilton lodge	hamilton lodge	1.0
cambridge belfry	cambridge belfry	1.0
bridge guest house	bridge guest house	1.0
gonville	gonville	1.0
cambridge	cambridge	1.0
acorn house	acorn house	1.0
city center north	city center north	1.0
express by	express by	1.0
north b and b	north b and b	1.0
lensfield	lensfield	1.0
city stop rest	city stop rest	1.0
kirkwood	kirkwood	1.0
levert	levert	1.0
anatolia	anatolia	1.0
huntingdon marriot hotel	huntingdon marriot hotel	1.0
cherr	cherr	1.0
huntingd	huntingd	1.0
aylesbray lodge	aylesbray lodge	1.0
royal spice	royal spice	1.0
la margherit	la margherit	1.0
city roomz	city roomz	1.0
alexander	alexander	1.0
caridge belfrey	caridge belfrey	1.0
alexander bed & breakfast	alexander bed & breakfast	1.0
the allenbell.	the allenbell.	1.0
the allenbell	the allenbell	1.0
lensfield hotel	lensfield hotel	1.0
tandoori palace	tandoori palace	1.0
huntingdon hotel	huntingdon hotel	1.0
doubletree by hilton cambridge	doubletree by hilton cambridge	1.0
