turkish	turkish	1.0
indian	indian	1.0
chinese	chinese	1.0
seafood	seafood	1.0
italian	italian	1.0
british	british	1.0
australasian	australasian	1.0
australian	australian	1.0
asian oriental	asian oriental	1.0
thai	thai	1.0
vegetarian	vegetarian	1.0
modern european	modern european	1.0
gastropub	gastropub	1.0
south indian	south indian	1.0
european	european	1.0
portuguese	portuguese	1.0
swiss	swiss	1.0
crossover	crossover	1.0
catalan	catalan	1.0
french	french	1.0
mexican	mexican	1.0
welsh	welsh	1.0
korean	korean	1.0
tuscan	tuscan	1.0
new zealand	new zealand	1.0
molecular gastronomy	molecular gastronomy	1.0
eritrean	eritrean	1.0
british	british	1.0
the americas	the americas	1.0
north american	north american	1.0
spanish	spanish	1.0
barbeque	barbeque	1.0
persian	persian	1.0
greek	greek	1.0
lebanese	lebanese	1.0
vietnamese	vietnamese	1.0
belgian	belgian	1.0
creative	creative	1.0
jamaican	jamaican	1.0
scottish	scottish	1.0
cuban	cuban	1.0
japanese	japanese	1.0
sri lankan	sri lankan	1.0
light bites	light bites	1.0
moroccan	moroccan	1.0
latin american	latin american	1.0
african	african	1.0
basque	basque	1.0
modern global	modern global	1.0
halal	halal	1.0
mediterranean	mediterranean	1.0
bistro	bistro	1.0
international	international	1.0
unusual	unusual	1.0
north indian	north indian	1.0
modern eclectic	modern eclectic	1.0
danish	danish	1.0
afghan	afghan	1.0
world	world	1.0
northern european	northern european	1.0
german	german	1.0
cantonese	cantonese	1.0
irish	irish	1.0
romanian	romanian	1.0
russian	russian	1.0
english	english	1.0
corsica	corsica	1.0
steakhouse	steakhouse	1.0
hungarian	hungarian	1.0
singaporean	singaporean	1.0
austrian	austrian	1.0
venetian	venetian	1.0
polynesian	polynesian	1.0
kosher	kosher	1.0
swedish	swedish	1.0
scandinavian	scandinavian	1.0
modern american	modern american	1.0
christmas	christmas	1.0
malaysian	malaysian	1.0
north african	north african	1.0
brazilian	brazilian	1.0
canapes	canapes	1.0
caribbean	caribbean	1.0
south african	south african	1.0
traditional	traditional	1.0
indonesian	indonesian	1.0
middle eastern	middle eastern	1.0
fusion	fusion	1.0
polish	polish	1.0
asian	asian	1.0
afternoon tea	afternoon tea	1.0
eastern european	eastern european	1.0
panasian	panasian	1.0
gastro pub	gastro pub	1.0
american	american	1.0
pizza	pizza	1.0
modern european	modern european	1.0
modern english	modern english	1.0
