white honda	white honda	1.0
blue audi .	blue audi .	1.0
yello volvo	yello volvo	1.0
white toyota	white toyota	1.0
grey honda	grey honda	1.0
green 1986 yugo	green 1986 yugo	1.0
yellow audi	yellow audi	1.0
blue volkswagen	blue volkswagen	1.0
black volkswagen	black volkswagen	1.0
blue audi	blue audi	1.0
yellow telsa	yellow telsa	1.0
yello skoda	yello skoda	1.0
red honda taxi	red honda taxi	1.0
black honda	black honda	1.0
red honda	red honda	1.0
red audi	red audi	1.0
grey honda .	grey honda .	1.0
black skoda	black skoda	1.0
red tesla	red tesla	1.0
grey audi	grey audi	1.0
blue tesla	blue tesla	1.0
yellow toyota	yellow toyota	1.0
blue toyota	blue toyota	1.0
red skoda	red skoda	1.0
black tesla	black tesla	1.0
grey tesla	grey tesla	1.0
white ford	white ford	1.0
white lexus	white lexus	1.0
gray toyota	gray toyota	1.0
white volvo	white volvo	1.0
grey skoda	grey skoda	1.0
ford pinto	ford pinto	1.0
yellow volkswagen	yellow volkswagen	1.0
rey toyota	rey toyota	1.0
blue lexus	blue lexus	1.0
black ford	black ford	1.0
white bmv	white bmv	1.0
yellow tesla	yellow tesla	1.0
black bww	black bww	1.0
black volvo	black volvo	1.0
red bmw	red bmw	1.0
grey volkswagen	grey volkswagen	1.0
bluw bmw	bluw bmw	1.0
white audi	white audi	1.0
yellow lexus	yellow lexus	1.0
black audi	black audi	1.0
black bmw	black bmw	1.0
tesla	tesla	1.0
white volkswagon	white volkswagon	1.0
audi	audi	1.0
blue honda	blue honda	1.0
grey volvo	grey volvo	1.0
yellow volvo	yellow volvo	1.0
red toyota	red toyota	1.0
yellow skoda	yellow skoda	1.0
grey toyota	grey toyota	1.0
white tesla	white tesla	1.0
grey bmw	grey bmw	1.0
blue volvo	blue volvo	1.0
grey lexux	grey lexux	1.0
white volkswagen	white volkswagen	1.0
white skoda	white skoda	1.0
a white honda	a white honda	1.0
yellow vw	yellow vw	1.0
grey volkswagon	grey volkswagon	1.0
blue audio	blue audio	1.0
white bmw	white bmw	1.0
gray skoda	gray skoda	1.0
yellow honda	yellow honda	1.0
yellow bmw	yellow bmw	1.0
blue car	blue car	1.0
blue ford	blue ford	1.0
blue skoda	blue skoda	1.0
grey ford	grey ford	1.0
red ford	red ford	1.0
blue bmw	blue bmw	1.0
red volvo	red volvo	1.0
blue volkswagon	blue volkswagon	1.0
red volkswagen	red volkswagen	1.0
grey lexus	grey lexus	1.0
ed volkswagen	ed volkswagen	1.0
black lexus	black lexus	1.0
gray ford	gray ford	1.0
yellow ford	yellow ford	1.0
red volkswagen taxi	red volkswagen taxi	1.0
grey honday .	grey honday .	1.0
volvo	volvo	1.0
black toyota	black toyota	1.0
red lexus	red lexus	1.0
