cambridge	cambridge	1.0
birmingham new street	birmingham new street	1.0
ely	ely	1.0
norwich	norwich	1.0
bishops stortford	bishops stortford	1.0
peterborough	peterborough	1.0
stevenage	stevenage	1.0
broxbourne	broxbourne	1.0
london liverpool street	london liverpool street	1.0
leicester	leicester	1.0
stansted airport	stansted airport	1.0
kings lynn	kings lynn	1.0
london kings cross	london kings cross	1.0
birmingham	birmingham	1.0
liecester	liecester	1.0
stansted	stansted	1.0
leicaster	leicaster	1.0
norwhich	norwhich	1.0
brookshite	brookshite	1.0
london	london	1.0
duxford	duxford	1.0
